cohort,reference_group,test_group,reference_n,test_n,delta,cliffs_delta,p_value,ci_low,ci_high,interpretation
CHB discovery,M,S,9,11,-0.387102591098,-0.636363636364,0.0118599666587,-0.625248418928,-0.154271071138,Discovery-stage
NAFLD fibrosis,F0-F2,F3-F4,72,14,-0.3315880825525026,-0.4226190476190476,0.012998700129987,-0.5862564068174699,-0.0950803810226291,Unadjusted histologic comparison
Cirrhosis context,Healthy,Cirrhosis,114,123,-0.0295810950753105,-0.0332334902296391,0.5389461053894611,-0.1259318906084953,0.0650003660964499,Context
