run_accession	group	module	pathways_defined	pathways_present	relative_score	log_ratio_score
DRR764582	M	scfa_butyrate	4	4	0.00110436417656	-6.80737963652
DRR764583	M	scfa_butyrate	4	4	0.0013629044936	-6.59677263263
DRR764584	M	scfa_butyrate	4	4	0.000834496188025	-7.08784634095
DRR764585	M	scfa_butyrate	4	4	0.00374431819083	-5.58376412535
DRR764586	M	scfa_butyrate	4	4	0.00280281792921	-5.87432285564
DRR764587	M	scfa_butyrate	4	4	0.000372586521567	-7.89466593557
DRR764588	M	scfa_butyrate	4	4	0.000979479387196	-6.92750838567
DRR764589	M	scfa_butyrate	4	4	0.000895853861255	-7.01683588894
DRR764590	S	scfa_butyrate	4	4	0.000774895652516	-7.16200569406
DRR764591	S	scfa_butyrate	4	4	0.00169095856254	-6.38076673385
DRR764592	S	scfa_butyrate	4	4	0.00100944364995	-6.89734499841
DRR764593	S	scfa_butyrate	4	4	0.000733955401511	-7.21632670572
DRR764594	S	scfa_butyrate	4	4	0.00211153583487	-6.15822547159
DRR764595	S	scfa_butyrate	4	4	0.0053969226397	-5.21651464647
DRR764596	S	scfa_butyrate	4	4	0.000647430521888	-7.34184988849
DRR764597	S	scfa_butyrate	4	4	0.0012241617709	-6.7042732103
DRR764598	S	scfa_butyrate	4	4	0.00119645300758	-6.72719592216
DRR764599	S	scfa_butyrate	4	4	0.00117092735482	-6.74878676672
DRR764600	S	scfa_butyrate	4	4	0.000786323800742	-7.14735398628
DRR764581	M	scfa_lactate_succinate	2	2	0.0113428240493	-4.4677622457
DRR764582	M	scfa_lactate_succinate	2	2	0.00768853533824	-4.86030660321
DRR764583	M	scfa_lactate_succinate	2	2	0.00815528188574	-4.80090063778
DRR764584	M	scfa_lactate_succinate	2	2	0.00887956581659	-4.71508328199
DRR764585	M	scfa_lactate_succinate	2	2	0.011300275597	-4.47156346814
DRR764586	M	scfa_lactate_succinate	2	2	0.00833170072629	-4.77932095246
DRR764587	M	scfa_lactate_succinate	2	2	0.00893692719279	-4.70858625139
DRR764588	M	scfa_lactate_succinate	2	2	0.0136837541328	-4.27776766783
DRR764589	M	scfa_lactate_succinate	2	2	0.00815844230668	-4.80050999593
DRR764590	S	scfa_lactate_succinate	2	2	0.0094906231787	-4.64791495115
DRR764591	S	scfa_lactate_succinate	2	2	0.00630697842482	-5.05977146315
DRR764592	S	scfa_lactate_succinate	2	2	0.00499180839255	-5.29495252315
DRR764593	S	scfa_lactate_succinate	2	2	0.00371884058594	-5.59061728916
DRR764594	S	scfa_lactate_succinate	2	2	0.00544898668608	-5.20686154767
DRR764595	S	scfa_lactate_succinate	2	2	0.00872829212844	-4.73241884041
DRR764596	S	scfa_lactate_succinate	2	2	0.00828818153091	-4.78460185172
DRR764597	S	scfa_lactate_succinate	2	2	0.00368995479626	-5.59844402187
DRR764598	S	scfa_lactate_succinate	2	2	0.00516255949227	-5.26114667259
