membership	module	pathway_id	pathway_name	expected_direction_with_severity	present_in_input	mean_M	mean_S	delta_S_minus_M	prevalence_overall	prevalence_M	prevalence_S	exact_p	expected_direction_met	contribution_to_module_delta
conservative	overall_fermentation	PWY-5677	succinate fermentation to butanoate	decrease	True	3.707610435560452e-05	7.918480368405471e-05	4.210869932845019e-05	0.55	0.4444444444444444	0.6363636363636364	0.48108478209097405	False	-0.013072749259205615
conservative	overall_fermentation	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	7.500571528995151e-06	2.425698642407028e-06	-5.074872886588123e-06	0.1	0.1111111111111111	0.09090909090909091	0.7394736842105263	True	0.001575506767645138
expanded	bile_acids	PWY-6518	bile acids epimerization	unspecified	True	2.896460729758538e-06	0.0	-2.896460729758538e-06	0.05	0.1111111111111111	0.0	0.45		1.0
expanded	lps_lipidA	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	unspecified	True	9.472852455028296e-05	0.00015824951400118676	6.35209894509038e-05	0.65	0.6666666666666666	0.6363636363636364	0.4471124077161229		0.17271309395895074
expanded	lps_lipidA	LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	unspecified	True	2.2454637137492775e-05	8.996948057953268e-05	6.75148434420399e-05	0.5	0.4444444444444444	0.5454545454545454	0.23656823053107884		0.18357235301004862
expanded	lps_lipidA	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	unspecified	True	3.411659364401152e-05	0.00016780297739226312	0.0001336863837482516	0.45	0.3333333333333333	0.5454545454545454	0.1636699214098595		0.36349227486750996
expanded	lps_lipidA	ECASYN-PWY	enterobacterial common antigen biosynthesis	unspecified	True	0.00012989387415267428	0.00023295494478210732	0.00010306107062943304	0.85	0.7777777777777778	0.9090909090909091	0.4411050250059538		0.28022227816349077
expanded	scfa_acetate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	True	0.004773384835935626	0.0031009661568238696	-0.0016724186791117561	1.0	1.0	1.0	0.002089783281733746	True	0.5930526358622826
expanded	scfa_acetate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	0.004835204835770269	0.003216881317482786	-0.0016183235182874829	1.0	1.0	1.0	0.007019528459156942	True	0.5738700722405536
expanded	scfa_acetate	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	0.000645610532002129	0.001091487529537536	0.0004458769975354069	0.95	0.8888888888888888	1.0	0.24962491069302215	False	-0.1581114418066504
expanded	scfa_acetate	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	True	3.6990314768866384e-05	6.183823795353135e-05	2.4847923184664966e-05	0.45	0.5555555555555556	0.36363636363636365	0.5051440819242676	False	-0.008811266296185855
expanded	scfa_butyrate	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	0.0006909696813574948	0.0005856716499221392	-0.0001052980314353556	1.0	1.0	1.0	0.6770064301024054	True	-1.5120968207978724
