cohort	membership	module	contrast	true_delta_mean	n_random_modules	empirical_p_abs_delta	empirical_p_directional_delta	same_direction_fraction	matching_method
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	-0.3315880825525026	5000	0.08158368326334733	0.08158368326334733	0.7482	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	-0.19674520824622377	5000	0.1339732053589282	0.12377524495100979	0.675	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles
