run_accession	group	module	pathways_defined	pathways_present	relative_score	log_ratio_score
DRR764582	M	scfa_butyrate	4	4	0.00110436417656	-6.80737963652
DRR764583	M	scfa_butyrate	4	4	0.0013629044936	-6.59677263263
DRR764584	M	scfa_butyrate	4	4	0.000834496188025	-7.08784634095
DRR764585	M	scfa_butyrate	4	4	0.00374431819083	-5.58376412535
DRR764586	M	scfa_butyrate	4	4	0.00280281792921	-5.87432285564
DRR764587	M	scfa_butyrate	4	4	0.000372586521567	-7.89466593557
DRR764588	M	scfa_butyrate	4	4	0.000979479387196	-6.92750838567
DRR764589	M	scfa_butyrate	4	4	0.000895853861255	-7.01683588894
DRR764590	S	scfa_butyrate	4	4	0.000774895652516	-7.16200569406
DRR764591	S	scfa_butyrate	4	4	0.00169095856254	-6.38076673385
DRR764592	S	scfa_butyrate	4	4	0.00100944364995	-6.89734499841
DRR764593	S	scfa_butyrate	4	4	0.000733955401511	-7.21632670572
DRR764594	S	scfa_butyrate	4	4	0.00211153583487	-6.15822547159
DRR764595	S	scfa_butyrate	4	4	0.0053969226397	-5.21651464647
DRR764596	S	scfa_butyrate	4	4	0.000647430521888	-7.34184988849
DRR764597	S	scfa_butyrate	4	4	0.0012241617709	-6.7042732103
DRR764598	S	scfa_butyrate	4	4	0.00119645300758	-6.72719592216
DRR764599	S	scfa_butyrate	4	4	0.00117092735482	-6.74878676672
DRR764600	S	scfa_butyrate	4	4	0.000786323800742	-7.14735398628
DRR764581	M	scfa_lactate_succinate	4	4	0.0113428240493	-4.4677622457
DRR764582	M	scfa_lactate_succinate	4	4	0.00837143721255	-4.77452290631
DRR764583	M	scfa_lactate_succinate	4	4	0.00936866444599	-4.66097179585
DRR764584	M	scfa_lactate_succinate	4	4	0.00916416701174	-4.68324776537
DRR764585	M	scfa_lactate_succinate	4	4	0.0129677874563	-4.33223420518
DRR764586	M	scfa_lactate_succinate	4	4	0.00967085794683	-4.62892022414
DRR764587	M	scfa_lactate_succinate	4	4	0.00916862996147	-4.68275637969
DRR764588	M	scfa_lactate_succinate	4	4	0.0137953964753	-4.26952882248
DRR764589	M	scfa_lactate_succinate	4	4	0.00877095010686	-4.72750038815
DRR764590	S	scfa_lactate_succinate	4	4	0.00983041832682	-4.61239463297
DRR764591	S	scfa_lactate_succinate	4	4	0.0078778757635	-4.83578778852
DRR764592	S	scfa_lactate_succinate	4	4	0.00572470848275	-5.15722231977
DRR764593	S	scfa_lactate_succinate	4	4	0.00391367408624	-5.53935707513
DRR764594	S	scfa_lactate_succinate	4	4	0.00591396793019	-5.12450658748
DRR764595	S	scfa_lactate_succinate	4	4	0.0118526708443	-4.42327849196
DRR764596	S	scfa_lactate_succinate	4	4	0.00838793458022	-4.77253753571
DRR764597	S	scfa_lactate_succinate	4	4	0.00588936216108	-5.12870063738
DRR764598	S	scfa_lactate_succinate	4	4	0.007900454729	-4.83290300629
