module	pathways_defined	pathways_present	n_M	n_S	mean_logratio_M	mean_logratio_S	median_logratio_M	median_logratio_S	delta_mean_logratio_S_minus_M	cliffs_delta_S_vs_M	p_exact	bootstrap95_ci_low	bootstrap95_ci_high	loo_direction_consistent_n	loo_total
bile_acids	1	1	9	11	-19.5934287448	-20.7232658379	-20.7232658379	-20.7232658379	-1.12983709319	-0.111111111111	0.45	-3.38951127957	3.5527136788e-15	19	20
lps_lipidA	4	4	9	11	-11.1632284216	-9.42770619936	-9.48388699866	-8.59608180322	1.73552222221	0.171717171717	0.403685401286	-2.27181497353	6.03744850634	20	20
overall_fermentation	8	8	9	11	-4.45233318639	-4.75725079141	-4.52377585341	-4.69753240477	-0.304917605014	-0.616161616162	0.0321445582281	-0.543530464955	-0.0764434374977	20	20
scfa_acetate	4	4	9	11	-4.58082719254	-4.93832050531	-4.66097179585	-4.83578778852	-0.357493312766	-0.59595959596	0.0100083353179	-0.580250253617	-0.144360002686	20	20
scfa_butyrate	4	4	9	11	-6.74676832772	-6.70005854764	-6.92750838567	-6.74878676672	0.0467097800833	0.010101010101	0.874505834723	-0.487182326528	0.592651504473	17	20
scfa_lactate_succinate	4	4	9	11	-4.58082719254	-4.93832050531	-4.66097179585	-4.83578778852	-0.357493312766	-0.59595959596	0.0100083353179	-0.57590587272	-0.142844345035	20	20
tryptophan_indole	2	2	9	11	-4.19294746987	-4.31744691612	-4.26018372316	-4.34570663771	-0.124499446244	-0.333333333333	0.174749940462	-0.29701972627	0.0339737334791	20	20
