module	pathways_defined	pathways_present	n_M	n_S	mean_logratio_M	mean_logratio_S	median_logratio_M	median_logratio_S	delta_mean_logratio_S_minus_M	cliffs_delta_S_vs_M	p_exact	bootstrap95_ci_low	bootstrap95_ci_high	loo_direction_consistent_n	loo_total	comparison_module_rationale
bile_acids	1	1	9	11	-19.5934287448	-20.7232658379	-20.7232658379	-20.7232658379	-1.12983709319	-0.111111111111	0.45	-3.38951127957	3.5527136788e-15	19	20	non-SCFA bile-acid transformation comparator
lps_lipidA	4	4	9	11	-11.1632284216	-9.42770619936	-9.48388699866	-8.59608180322	1.73552222221	0.171717171717	0.403685401286	-2.27181497353	6.03744850634	20	20	non-fermentation cell-envelope/endotoxin comparator
tryptophan_indole	2	2	9	11	-4.19294746987	-4.31744691612	-4.26018372316	-4.34570663771	-0.124499446244	-0.333333333333	0.174749940462	-0.29701972627	0.0339737334791	20	20	non-fermentation amino-acid comparator
