cohort	membership	module	n_expected_decrease_present	n_decreased	fraction_decreased
QinN_2014	conservative	overall_fermentation	5	2	0.4
QinN_2014	conservative	scfa_acetate	1	1	1.0
QinN_2014	conservative	scfa_butyrate	4	1	0.25
QinN_2014	conservative	scfa_lactate_succinate	1	1	1.0
QinN_2014	expanded	overall_fermentation	6	2	0.3333333333333333
QinN_2014	expanded	scfa_acetate	2	1	0.5
QinN_2014	expanded	scfa_butyrate	4	1	0.25
QinN_2014	expanded	scfa_lactate_succinate	2	1	0.5
