cohort	membership	module	contrast	true_delta_mean	n_random_modules	empirical_p_abs_delta	empirical_p_directional_delta	same_direction_fraction	matching_method
QinN_2014	conservative	overall_fermentation	cirrhosis_minus_healthy	-0.029581095075310593	5000	0.99000199960008	0.0001999600079984003	0.0024	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles
QinN_2014	expanded	overall_fermentation	cirrhosis_minus_healthy	0.07280146334081472	5000	0.9864027194561088	0.9864027194561088	0.9998	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles
