cohort	membership	module	pathway_id	pathway_name	expected_direction_with_severity	present_in_input	feature
QinN_2014	conservative	bile_acids	PWY-6518	bile acids epimerization	unspecified	False	
QinN_2014	conservative	lps_lipidA	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	unspecified	True	KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis
QinN_2014	conservative	lps_lipidA	LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	unspecified	False	
QinN_2014	conservative	lps_lipidA	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	unspecified	True	LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis
QinN_2014	conservative	scfa_acetate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	
QinN_2014	conservative	scfa_acetate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	PWY-5100: pyruvate fermentation to acetate and lactate II
QinN_2014	conservative	scfa_butyrate	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	CENTFERM-PWY: pyruvate fermentation to butanoate
QinN_2014	conservative	scfa_butyrate	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	PWY-5676: acetyl-CoA fermentation to butanoate II
QinN_2014	conservative	scfa_butyrate	PWY-5677	succinate fermentation to butanoate	decrease	True	PWY-5677: succinate fermentation to butanoate
QinN_2014	conservative	scfa_butyrate	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	P163-PWY: L-lysine fermentation to acetate and butanoate
QinN_2014	conservative	scfa_lactate_succinate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	
QinN_2014	conservative	scfa_lactate_succinate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	PWY-5100: pyruvate fermentation to acetate and lactate II
QinN_2014	conservative	tryptophan_indole	PWY-6629	superpathway of L-tryptophan biosynthesis	unspecified	True	PWY-6629: superpathway of L-tryptophan biosynthesis
QinN_2014	conservative	tryptophan_indole	TRPSYN-PWY	L-tryptophan biosynthesis	unspecified	True	TRPSYN-PWY: L-tryptophan biosynthesis
