cohort	membership	module	pathway_id	pathway_name	expected_direction_with_severity	present_in_input	contrast	reference_group	test_group	mean_reference	mean_test	delta_mean	expected_direction_met	prevalence
QinN_2014	conservative	lps_lipidA	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	6.209932939627334e-05	0.0001617442337522315	9.964490435595817e-05		0.6413502109704642
QinN_2014	conservative	lps_lipidA	LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	unspecified	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	conservative	lps_lipidA	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	6.600597181520343e-05	0.00012818010938057877	6.217413756537534e-05		0.5274261603375527
QinN_2014	conservative	scfa_acetate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	conservative	scfa_acetate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0037088158299018468	0.00342660994951582	-0.0002822058803860269	True	1.0
QinN_2014	conservative	scfa_butyrate	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0004483533798062213	0.00037779482733828705	-7.055855246793427e-05	True	0.9704641350210971
QinN_2014	conservative	scfa_butyrate	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005850645497214054	0.0008710450460118832	0.0002859804962904778	False	0.9957805907172996
QinN_2014	conservative	scfa_butyrate	PWY-5677	succinate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	3.4055413000293603e-05	3.82669866762406e-05	4.211573675946995e-06	False	0.47257383966244726
QinN_2014	conservative	scfa_butyrate	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	1.56459006279646e-05	4.093217375953932e-05	2.528627313157472e-05	False	0.33755274261603374
QinN_2014	conservative	scfa_lactate_succinate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	conservative	scfa_lactate_succinate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0037088158299018468	0.00342660994951582	-0.0002822058803860269	True	1.0
QinN_2014	conservative	tryptophan_indole	PWY-6629	superpathway of L-tryptophan biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0006427831883347245	0.001224484843089888	0.0005817016547551634		0.7552742616033755
QinN_2014	conservative	tryptophan_indole	TRPSYN-PWY	L-tryptophan biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.005512565128153988	0.00514675195818293	-0.0003658131699710576		1.0
QinN_2014	conservative	overall_fermentation	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	conservative	overall_fermentation	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0037088158299018468	0.00342660994951582	-0.0002822058803860269	True	1.0
QinN_2014	conservative	overall_fermentation	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0004483533798062213	0.00037779482733828705	-7.055855246793427e-05	True	0.9704641350210971
QinN_2014	conservative	overall_fermentation	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005850645497214054	0.0008710450460118832	0.0002859804962904778	False	0.9957805907172996
QinN_2014	conservative	overall_fermentation	PWY-5677	succinate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	3.4055413000293603e-05	3.82669866762406e-05	4.211573675946995e-06	False	0.47257383966244726
QinN_2014	conservative	overall_fermentation	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	1.56459006279646e-05	4.093217375953932e-05	2.528627313157472e-05	False	0.33755274261603374
QinN_2014	expanded	lps_lipidA	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	6.209932939627334e-05	0.0001617442337522315	9.964490435595817e-05		0.6413502109704642
QinN_2014	expanded	lps_lipidA	LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	unspecified	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	lps_lipidA	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	6.600597181520343e-05	0.00012818010938057877	6.217413756537534e-05		0.5274261603375527
QinN_2014	expanded	lps_lipidA	ECASYN-PWY	enterobacterial common antigen biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	7.473176521403027e-05	0.00020618870372173746	0.0001314569385077072		0.6455696202531646
QinN_2014	expanded	scfa_acetate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	scfa_acetate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0037088158299018468	0.00342660994951582	-0.0002822058803860269	True	1.0
QinN_2014	expanded	scfa_acetate	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005719366408534074	0.0011840317565243528	0.0006120951156709454	False	0.9746835443037974
QinN_2014	expanded	scfa_acetate	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	scfa_butyrate	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0004483533798062213	0.00037779482733828705	-7.055855246793427e-05	True	0.9704641350210971
QinN_2014	expanded	scfa_butyrate	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005850645497214054	0.0008710450460118832	0.0002859804962904778	False	0.9957805907172996
QinN_2014	expanded	scfa_butyrate	PWY-5677	succinate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	3.4055413000293603e-05	3.82669866762406e-05	4.211573675946995e-06	False	0.47257383966244726
QinN_2014	expanded	scfa_butyrate	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	1.56459006279646e-05	4.093217375953932e-05	2.528627313157472e-05	False	0.33755274261603374
QinN_2014	expanded	scfa_lactate_succinate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	scfa_lactate_succinate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0037088158299018468	0.00342660994951582	-0.0002822058803860269	True	1.0
QinN_2014	expanded	scfa_lactate_succinate	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005719366408534074	0.0011840317565243528	0.0006120951156709454	False	0.9746835443037974
QinN_2014	expanded	scfa_lactate_succinate	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	tryptophan_indole	PWY-6629	superpathway of L-tryptophan biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0006427831883347245	0.001224484843089888	0.0005817016547551634		0.7552742616033755
QinN_2014	expanded	tryptophan_indole	TRPSYN-PWY	L-tryptophan biosynthesis	unspecified	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.005512565128153988	0.00514675195818293	-0.0003658131699710576		1.0
QinN_2014	expanded	overall_fermentation	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	overall_fermentation	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0037088158299018468	0.00342660994951582	-0.0002822058803860269	True	1.0
QinN_2014	expanded	overall_fermentation	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005719366408534074	0.0011840317565243528	0.0006120951156709454	False	0.9746835443037974
QinN_2014	expanded	overall_fermentation	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	False	cirrhosis_minus_healthy	healthy	cirrhosis					
QinN_2014	expanded	overall_fermentation	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0004483533798062213	0.00037779482733828705	-7.055855246793427e-05	True	0.9704641350210971
QinN_2014	expanded	overall_fermentation	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	0.0005850645497214054	0.0008710450460118832	0.0002859804962904778	False	0.9957805907172996
QinN_2014	expanded	overall_fermentation	PWY-5677	succinate fermentation to butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	3.4055413000293603e-05	3.82669866762406e-05	4.211573675946995e-06	False	0.47257383966244726
QinN_2014	expanded	overall_fermentation	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	cirrhosis_minus_healthy	healthy	cirrhosis	1.56459006279646e-05	4.093217375953932e-05	2.528627313157472e-05	False	0.33755274261603374
