cohort	membership	module	contrast	reference_group	test_group	n_reference	n_test	mean_reference	mean_test	median_reference	median_test	delta_mean	cliffs_delta_test_vs_reference	wilcox_p	permutation_p	permutation_method	n_permutations	bootstrap95_ci_low	bootstrap95_ci_high	n_pathways_defined	n_pathways_present	evidence_tier
QinN_2014	conservative	lps_lipidA	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-14.216168537000382	-11.460058495479366	-10.673844377639224	-8.841546176557612	2.7561100415210156	0.31750106974753955	1.6798257586758632e-05	0.00019998000199980003	monte_carlo	10000	1.369426947899707	4.198504384406739	3	2	processed_public_matrix_directional_support
QinN_2014	conservative	scfa_acetate	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.670299016624781	-5.762501444585692	-5.624215729353507	-5.730869227370131	-0.09220242796091149	-0.13279132791327913	0.07765338641501907	0.10518948105189481	monte_carlo	10000	-0.19937588059248912	0.014368832635061266	2	1	processed_public_matrix_directional_support
QinN_2014	conservative	scfa_butyrate	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-6.976753272480201	-6.763751857566686	-7.017051097292011	-6.7427914839028515	0.21300141491351443	0.25288831835686776	0.0007762842081609639	0.005499450054994501	monte_carlo	10000	0.060546814370885875	0.35560464222015864	4	4	processed_public_matrix_directional_support
QinN_2014	conservative	scfa_lactate_succinate	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.670299016624781	-5.762501444585692	-5.624215729353507	-5.730869227370131	-0.09220242796091149	-0.13279132791327913	0.07765338641501907	0.10388961103889612	monte_carlo	10000	-0.1995533847080156	0.01528121781155812	2	1	processed_public_matrix_directional_support
QinN_2014	conservative	tryptophan_indole	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.109280485310485	-5.071995111371434	-5.103045628385832	-5.023956623226865	0.03728537393905107	0.12951076879189843	0.085277485177858	0.20377962203779623	monte_carlo	10000	-0.02002245354650072	0.0938294260568633	2	2	processed_public_matrix_directional_support
QinN_2014	conservative	overall_fermentation	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.388653162402386	-5.418234257477697	-5.367817596379439	-5.361656122318573	-0.029581095075310593	-0.03323349022963914	0.6593000774753666	0.5389461053894611	monte_carlo	10000	-0.1259318906084953	0.06500036609644994	6	5	processed_public_matrix_directional_support
QinN_2014	expanded	lps_lipidA	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-13.459404617285823	-10.862612687386449	-9.879479477071278	-8.17806223462964	2.596791929899375	0.3281985451433462	9.533174136889402e-06	0.0007999200079992001	monte_carlo	10000	1.1228319938779274	4.039193097315814	4	3	processed_public_matrix_directional_support
QinN_2014	expanded	scfa_acetate	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.512121083385096	-5.465050893128026	-5.488631315719781	-5.446905569003417	0.04707019025706938	0.07602339181286549	0.312611834597906	0.37936206379362064	monte_carlo	10000	-0.0562945645222724	0.14890214280742384	4	2	processed_public_matrix_directional_support
QinN_2014	expanded	scfa_butyrate	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-6.976753272480201	-6.763751857566686	-7.017051097292011	-6.7427914839028515	0.21300141491351443	0.25288831835686776	0.0007762842081609639	0.004999500049995001	monte_carlo	10000	0.06340048766285804	0.3582584009508253	4	4	processed_public_matrix_directional_support
QinN_2014	expanded	scfa_lactate_succinate	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.512121083385096	-5.465050893128026	-5.488631315719781	-5.446905569003417	0.04707019025706938	0.07602339181286549	0.312611834597906	0.3758624137586241	monte_carlo	10000	-0.05426961238710333	0.14788793611455106	4	2	processed_public_matrix_directional_support
QinN_2014	expanded	tryptophan_indole	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.109280485310485	-5.071995111371434	-5.103045628385832	-5.023956623226865	0.03728537393905107	0.12951076879189843	0.085277485177858	0.20707929207079293	monte_carlo	10000	-0.01810556229726383	0.09629364203022846	2	2	processed_public_matrix_directional_support
QinN_2014	expanded	overall_fermentation	cirrhosis_minus_healthy	healthy	cirrhosis	114	123	-5.275510598629553	-5.202709135288738	-5.27449022573383	-5.166298360868506	0.07280146334081472	0.13607188703465983	0.07059390908433628	0.1471852814718528	monte_carlo	10000	-0.02537806580138473	0.170454786154854	8	6	processed_public_matrix_directional_support
