cohort	membership	random_module_id	n_pathways	contrast	delta_mean	abs_delta_ge_true	same_direction_as_true	matching_method	exact_bin_matches	relaxed_mean_prevalence_matches	global_fallback_matches	pathways
QinN_2014	conservative	random_00001	5	cirrhosis_minus_healthy	-0.10232397084644695	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5154;GLUCARGALACTSUPER-PWY;PWY-5022;KDO-NAGLIPASYN-PWY;PWY-7094
QinN_2014	conservative	random_00002	5	cirrhosis_minus_healthy	-0.08882868543658429	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5695;PWY-6891;GLUCARDEG-PWY;DENITRIFICATION-PWY;PWY-5101
QinN_2014	conservative	random_00003	5	cirrhosis_minus_healthy	0.05447175670192639	True	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6892;GOLPDLCAT-PWY;PWY-5384;RUMP-PWY;P162-PWY
QinN_2014	conservative	random_00004	5	cirrhosis_minus_healthy	-0.10650976338332718	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5097;P108-PWY;GLUCARGALACTSUPER-PWY;PWY-5415;PWY-7446
QinN_2014	conservative	random_00005	5	cirrhosis_minus_healthy	-0.05436105996712559	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5695;PWY-5005;HEMESYN2-PWY;UBISYN-PWY;PWY0-321
QinN_2014	conservative	random_00006	5	cirrhosis_minus_healthy	0.061314688166437925	True	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6317;P42-PWY;PWY-6891;PWY-7031;URSIN-PWY
QinN_2014	conservative	random_00007	5	cirrhosis_minus_healthy	0.02230462890588303	False	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6124;GOLPDLCAT-PWY;PWY4LZ-257;PWY-6182;PWY-6215
QinN_2014	conservative	random_00008	5	cirrhosis_minus_healthy	-0.021511269209833372	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6122;PWY-5005;GOLPDLCAT-PWY;PWY0-1338;CATECHOL-ORTHO-CLEAVAGE-PWY
QinN_2014	conservative	random_00009	5	cirrhosis_minus_healthy	0.10103355940249337	True	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6147;GLUCARGALACTSUPER-PWY;GOLPDLCAT-PWY;PROPFERM-PWY;PWY-6396
QinN_2014	conservative	random_00010	5	cirrhosis_minus_healthy	-0.14318896457542252	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5686;P108-PWY;GLUCARGALACTSUPER-PWY;ALLANTOINDEG-PWY;PWY-5101
QinN_2014	conservative	random_00011	5	cirrhosis_minus_healthy	-0.029888436808747976	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6277;GOLPDLCAT-PWY;PWY-5005;PWY-622;PWY66-388
QinN_2014	conservative	random_00012	5	cirrhosis_minus_healthy	-0.09028868559062264	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6123;P108-PWY;PWY-6590;PWY-5004;PWY-7616
QinN_2014	conservative	random_00013	5	cirrhosis_minus_healthy	-0.07859962905233253	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5154;PPGPPMET-PWY;PWY-5022;ECASYN-PWY;PWY-7616
QinN_2014	conservative	random_00014	5	cirrhosis_minus_healthy	-0.12373119897464413	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-5667;GALACTARDEG-PWY;PWY-7198;PWY-6823;PWY66-367
QinN_2014	conservative	random_00015	5	cirrhosis_minus_healthy	-0.16563754589249946	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	5	0	0	PWY-6609;P185-PWY;P108-PWY;PWY-7371;CATECHOL-ORTHO-CLEAVAGE-PWY
